calories,protein,fat,carbs,label
2439.8502741219254,113.10475630452989,141.21620120705265,173.06818251304966,Избыток жиров
2522.4495947548057,240.6842356884547,42.663492695140846,296.99571053628733,Дисбаланс нутриентов
2700.4077724476356,165.4366242651767,72.402229596864,353.4565315431232,Избыток калорий
3609.2125495770924,232.88094184137495,250.95637562121388,112.9205529064715,Избыток калорий
4613.143495089545,339.9607241329763,208.30143919807804,337.5800250312858,Избыток калорий
2585.1938722942477,235.4500717999975,104.46668472161862,164.12536714710396,Избыток калорий
4936.854101151142,142.7382963734013,231.99311957461197,576.5306400785003,Избыток калорий
6091.919348959849,377.37646960086414,387.4936686514584,238.82978642651943,Избыток калорий
3248.5408037977277,90.03639555994923,290.6042491007492,77.87387278048637,Избыток калорий
8628.394392324328,368.42799754431127,338.0073118260358,1024.3514280037857,Избыток калорий
4463.518793460338,321.87345011089405,135.82010306399403,498.9998847992539,Избыток калорий
3796.6043785583474,182.54713176770932,171.53885610808032,378.6260696895174,Избыток калорий
6960.894632971683,182.47272941547814,369.80228658811706,755.3211400758374,Избыток калорий
8978.560729645464,397.44330966539405,643.2522327200531,401.2910365287074,Избыток калорий
1965.38065348803,160.1004467630446,76.62743555693565,157.31840344540782,Избыток жиров
9213.984336203548,162.69016618959049,602.6605585508061,791.0183866796801,Избыток калорий
2488.3108106709574,61.68812275150367,97.15039493801294,351.79095970310846,Избыток калорий
4303.837008977163,264.0234394545878,132.89676966407666,500.76433187115765,Избыток калорий
5385.972767969064,187.849940200698,132.30898993679423,871.7014075429717,Избыток калорий
5485.099311190237,119.47875642742393,453.01330354896766,232.0229772116661,Избыток калорий
5942.612295697012,368.65562849627594,283.45248982769374,487.39733610514827,Избыток калорий
3103.2346997328686,141.3614736205799,133.58310935457567,335.94720962246515,Избыток жиров
4198.389087595513,152.73646208452524,212.94775219254092,417.879457624328,Избыток калорий
6262.129068592077,152.18276194400065,376.01855425160085,583.9796872752487,Избыток калорий
5009.890351206657,70.49863495522214,431.23112600976975,260.538522897336,Избыток калорий
3948.1724714213087,280.4493688422907,223.45562706155383,210.40576669738763,Избыток калорий
1855.5210162422536,142.71223191729302,53.251705403971876,193.8885351188702,Дисбаланс нутриентов
1388.8537035896102,210.9460392175239,49.00229202281887,24.750578831640443,Дефицит калорий
5239.156644146422,181.57880423582864,226.90798384315866,638.1076141763045,Избыток калорий
4775.01087687768,133.8371900589439,164.00472093067202,702.359916868507,Избыток калорий
965.459602433825,56.921970653367275,14.189217624806421,150.95709469380301,Дефицит калорий
3738.4679377262128,127.76419482489267,94.29653120540418,613.6365702306781,Избыток калорий
5354.7414499343795,216.11480957846302,222.9403141579033,617.7435622044737,Избыток калорий
2156.527594820072,174.83856407811777,56.620584703080794,250.27683291805866,Дисбаланс нутриентов
4057.912889090266,278.60786797499406,136.92581919546302,421.097837852379,Избыток калорий
3870.779847237355,203.09969961785748,76.85654830126214,594.6090943525413,Избыток калорий
7245.838760334704,229.97680198838395,411.4618574778814,680.6759451540363,Избыток калорий
1590.7412982204823,88.19170982801882,63.6817914439478,162.07489301953865,Избыток жиров
2488.487973372213,306.9527539501725,124.94878700948523,20.7066107435095,Избыток жиров
3959.8552440408666,163.9241097167228,173.26781768487857,444.44445084819307,Избыток калорий
5467.68819568289,200.32453880935157,171.06272424851068,776.316220650118,Избыток калорий
4274.95940945467,138.970512569598,89.87630501860582,768.5378831075944,Избыток калорий
7412.263044854352,398.96161170469094,495.1598501787938,321.04206452618195,Избыток калорий
4344.684817918034,291.14044835851126,134.1493486914207,500.9039928473121,Избыток калорий
5546.979488430212,317.42783144582955,159.45640483645886,728.7047093647623,Избыток калорий
4331.063947688201,398.1960734409868,148.45190563009317,375.5435171627486,Избыток калорий
5101.1445909729555,183.1912261231688,303.2052172437229,419.47610920714834,Избыток калорий
1671.572290149,221.12162819856624,34.195592010627124,119.0824925612,Дисбаланс нутриентов
2776.78174133371,188.0600043050986,97.93143982073867,287.6300551039366,Избыток калорий
3451.207375820467,228.28102042007325,88.42660298012639,457.08154440348767,Избыток калорий
1828.0339365945922,84.29587752130709,38.531963207007145,284.7832563550396,Дисбаланс нутриентов
5007.180633565507,148.42435036296234,119.18686488890458,865.8001532401097,Избыток калорий
8813.241437398096,301.1264519601449,708.0982102620358,264.79254150786136,Избыток калорий
2697.9338862571994,95.35878447428344,140.74165850841027,269.48311209064866,Избыток жиров
3785.180901614093,135.27791377170345,214.20677533511264,339.0420955238366,Избыток калорий
3000.361811528932,196.8461465626119,170.1863383775737,177.25444739343547,Избыток калорий
2446.736881889674,167.935938346028,78.20691511654803,266.85895128909175,Избыток калорий
918.3565678938246,57.28500611218462,23.63266299053874,130.10034228258507,Дефицит калорий
4965.32943278387,310.299717124716,206.01772198003357,465.0428373029353,Избыток калорий
3803.4415377270375,217.09018819829566,194.08273870432535,311.59208691243913,Избыток калорий
1787.126222354923,138.396788775943,67.92170266725928,151.23414816739097,Дисбаланс нутриентов
1415.893332294656,101.1688625279008,62.58316076221011,124.53260840579966,Избыток жиров
2401.9285809433263,181.72973574077471,123.69638358454245,150.87933150406826,Избыток жиров
5115.235035853447,434.3264555329563,211.99205631842935,382.0941159602967,Избыток калорий
3422.9719792082005,157.48472722596054,51.072046992557965,605.7823478525102,Избыток калорий
